question,correct_answer,predicted_answer,is_correct,groundtruth_rationale,generated_rationale,question_no_choice,longest_groundtruth_rationale,BLEU_score,ROUGE_scores,METEOR_score,question_text,hypothesis,gen_rationale_mask,no_entail_prob,support,sentence_level_support
"What is the man by the bags awaiting? Choices: skateboarder, train, delivery, cab",cab,Delivery,0,"['A train would not be on the street, he would not have luggage waiting for a delivery, and the skateboarder is there and not paying attention to him so a cab is the only possible answer.', 'He has bags as if he is going someone, and he is on a road waiting for vehicle that can only be moved on the road and is big enough to hold the bags.', 'He looks to be waiting for a paid ride to pick him up.']","The man by the bags is waiting for a delivery, as indicated by the presence of the suitcases and the fact that he is standing on the side of the road. The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.",What is the man by the bags awaiting?,"A train would not be on the street, he would not have luggage waiting for a delivery, and the skateboarder is there and not paying attention to him so a cab is the only possible answer.",0.0677593464302556,"{'rouge1': Score(precision=0.35185185185185186, recall=0.5277777777777778, fmeasure=0.4222222222222222), 'rouge2': Score(precision=0.09433962264150944, recall=0.14285714285714285, fmeasure=0.11363636363636365), 'rougeL': Score(precision=0.2037037037037037, recall=0.3055555555555556, fmeasure=0.24444444444444444)}",0.3241427289870197,What is the man by the bags awaiting?,The man by the bags is awaiting delivery.,"The man by the bags is waiting for a <mask>, as indicated by the presence of the suitcases and the fact that he is standing on the side of the road. The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.",0.6417592167854309,False,"[{'sentence': 'The man by the bags is waiting for a delivery, as indicated by the presence of the suitcases and the fact that he is standing on the side of the road.', 'no_entail_prob': 0.00018306820129510015, 'support': True}, {'sentence': 'The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.', 'no_entail_prob': 0.3752484619617462, 'support': True}]"
"Where does this man eat pizza? Choices: office, cafe, motel, outside",office,Office,1,"['The man is eating pizza at a work desk in an office setting.', 'The man is near a computer keyboard.', 'The man is sitting at an office desk at his job and eating his pizza.']","The man is eating pizza in an office setting, as evidenced by the presence of a computer desk, keyboard, and other office-related items in the image. This suggests that the man is enjoying his pizza while working or taking a break in the office environment. The other options, such as a cafe, motel, or outside, are less likely to be the location where the man is eating his pizza.",Where does this man eat pizza?,The man is sitting at an office desk at his job and eating his pizza.,0.0263484950481197,"{'rouge1': Score(precision=0.15714285714285714, recall=0.7333333333333333, fmeasure=0.2588235294117647), 'rouge2': Score(precision=0.07246376811594203, recall=0.35714285714285715, fmeasure=0.12048192771084339), 'rougeL': Score(precision=0.14285714285714285, recall=0.6666666666666666, fmeasure=0.23529411764705882)}",0.4372549019607843,Where does this man eat pizza?,This man eats pizza in the office.,"The man is eating pizza in an <mask> setting, as evidenced by the presence of a computer desk, keyboard, and other <mask>-related items in the image. This suggests that the man is enjoying his pizza while working or taking a break in the <mask> environment. The other options, such as a cafe, motel, or outside, are less likely to be the location where the man is eating his pizza.",0.0122649138793349,True,"[{'sentence': 'The man is eating pizza in an office setting, as evidenced by the presence of a computer desk, keyboard, and other office-related items in the image.', 'no_entail_prob': 0.00036937810364179313, 'support': True}, {'sentence': 'This suggests that the man is enjoying his pizza while working or taking a break in the office environment.', 'no_entail_prob': 0.0010024583898484707, 'support': True}, {'sentence': 'The other options, such as a cafe, motel, or outside, are less likely to be the location where the man is eating his pizza.', 'no_entail_prob': 0.38029852509498596, 'support': True}]"
"What is the occupation of the person driving? Choices: waiter, farmer, cashier, musician",farmer,Farmer,1,"['The place is full of sheep that shows the person is a farmer.', 'Farmer is the obvious profession as the picture shows.', 'With the tractor he is in and the livestock shown it is easy to surmise his profession.']","The occupation of the person driving is farmer. This can be inferred from the fact that they are driving a tractor, which is a common piece of equipment used in agriculture for tasks such as plowing, planting, and harvesting crops. The presence of a large herd of sheep in the image further supports the idea that the person is a farmer, as they are responsible for the care and management of these animals.",What is the occupation of the person driving?,With the tractor he is in and the livestock shown it is easy to surmise his profession.,0.0038930042359815,"{'rouge1': Score(precision=0.0958904109589041, recall=0.4117647058823529, fmeasure=0.15555555555555553), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0958904109589041, recall=0.4117647058823529, fmeasure=0.15555555555555553)}",0.1327433628318584,What is the occupation of the person driving?,The occupation of the person driving is farmer.,"The occupation of the person driving is <mask>. This can be inferred from the fact that they are driving a tractor, which is a common piece of equipment used in agriculture for tasks such as plowing, planting, and harvesting crops. The presence of a large herd of sheep in the image further supports the idea that the person is a <mask>, as they are responsible for the care and management of these animals.",0.0124436467885971,True,"[{'sentence': 'The occupation of the person driving is farmer.', 'no_entail_prob': 0.0017891593743115664, 'support': True}, {'sentence': 'This can be inferred from the fact that they are driving a tractor, which is a common piece of equipment used in agriculture for tasks such as plowing, planting, and harvesting crops.', 'no_entail_prob': 0.08850466459989548, 'support': True}, {'sentence': 'The presence of a large herd of sheep in the image further supports the idea that the person is a farmer, as they are responsible for the care and management of these animals.', 'no_entail_prob': 0.41182035207748413, 'support': True}]"
"How were the drivers of the cars able to park here? Choices: firemen, airport workers, police, postal workers",airport workers,Airport workers,1,"['These drivers work at the airport.', 'Cars are parked on a tarmac near an airplane. only worker vehicles are allowed on airport tarmacs.', 'The people that work here use the vehicles on the tarmac.']","The drivers of the cars were able to park here because they are airport workers. Airport workers are responsible for various tasks such as loading and unloading luggage, assisting passengers, and maintaining the airport facilities. They have access to designated parking areas within the airport premises, which allows them to park their vehicles close to their workstations. In the image, there are several cars and trucks parked near the airplane, indicating that these vehicles belong to",How were the drivers of the cars able to park here?,Cars are parked on a tarmac near an airplane. only worker vehicles are allowed on airport tarmacs.,0.0037362029044314,"{'rouge1': Score(precision=0.13157894736842105, recall=0.5882352941176471, fmeasure=0.2150537634408602), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07894736842105263, recall=0.35294117647058826, fmeasure=0.12903225806451613)}",0.2183406113537117,How were the drivers of the cars able to park here?,The drivers of the cars were able to park here by airport workers.,"The drivers of the cars were able to park here because they are <mask>. <mask> are responsible for various tasks such as loading and unloading luggage, assisting passengers, and maintaining the airport facilities. They have access to designated parking areas within the airport premises, which allows them to park their vehicles close to their workstations. In the image, there are several cars and trucks parked near the airplane, indicating that these vehicles belong to",0.2323101460933685,True,"[{'sentence': 'The drivers of the cars were able to park here because they are airport workers.', 'no_entail_prob': 0.23231014609336853, 'support': True}, {'sentence': 'Airport workers are responsible for various tasks such as loading and unloading luggage, assisting passengers, and maintaining the airport facilities.', 'no_entail_prob': 0.6178585290908813, 'support': False}, {'sentence': 'They have access to designated parking areas within the airport premises, which allows them to park their vehicles close to their workstations.', 'no_entail_prob': 0.43206337094306946, 'support': True}, {'sentence': 'In the image, there are several cars and trucks parked near the airplane, indicating that these vehicles belong to', 'no_entail_prob': 0.8492224812507629, 'support': False}]"
"How many people can ride this motorcycle at a time? Choices: four, two, three, one",two,Two,1,"['Two people can be on the bike.', ""There is a passenger seat and a driver's seat."", 'There are two seats and seat backs on the motorcycle that apply that two could ride simultaneously.']","The reasoning behind the answer is that the motorcycle is designed for two people to ride at a time. In the image, there are two black leather seats on the motorcycle, which indicates that it is intended for two passengers. Additionally, the motorcycle has a windshield and side mirrors, which are common features on motorcycles for the comfort and safety of the riders. Therefore, the correct answer is two people can ride this motorcycle at a time.",How many people can ride this motorcycle at a time?,There are two seats and seat backs on the motorcycle that apply that two could ride simultaneously.,0.0100398947448867,"{'rouge1': Score(precision=0.15584415584415584, recall=0.7058823529411765, fmeasure=0.2553191489361702), 'rouge2': Score(precision=0.05263157894736842, recall=0.25, fmeasure=0.08695652173913043), 'rougeL': Score(precision=0.12987012987012986, recall=0.5882352941176471, fmeasure=0.2127659574468085)}",0.2826086956521739,How many people can ride this motorcycle at a time?,Two people can ride this motorcycle at a time.,"The reasoning behind the answer is that the motorcycle is designed for <mask> people to ride at a time. In the image, there are <mask> black leather seats on the motorcycle, which indicates that it is intended for <mask> passengers. Additionally, the motorcycle has a windshield and side mirrors, which are common features on motorcycles for the comfort and safety of the riders. Therefore, the correct answer is <mask> people can ride this motorcycle at a time.",0.165121391415596,True,"[{'sentence': 'The reasoning behind the answer is that the motorcycle is designed for two people to ride at a time.', 'no_entail_prob': 0.0005062919808551669, 'support': True}, {'sentence': 'In the image, there are two black leather seats on the motorcycle, which indicates that it is intended for two passengers.', 'no_entail_prob': 0.0064427899196743965, 'support': True}, {'sentence': 'Additionally, the motorcycle has a windshield and side mirrors, which are common features on motorcycles for the comfort and safety of the riders.', 'no_entail_prob': 0.6247515082359314, 'support': False}, {'sentence': 'Therefore, the correct answer is two people can ride this motorcycle at a time.', 'no_entail_prob': 0.001515891752205789, 'support': True}]"
"Where would one most likely see the show advertised in the poster? Choices: theater, tv, internet, cinema",theater,Theater,1,"['Most likely the sign is depicting a broadway show at a theater.', 'The poster would be in a theater.', 'This type of display with a character and the added writing is usually used to advertise either a movie or play both of which could be viewed in a theater.']","The most likely place to see the show advertised in the poster would be at the theater where the show is being performed. Theater posters are typically used to advertise upcoming shows and events taking place at the theater. The other choices, such as television, internet, and cinema, are more likely to be used for promoting shows that are already airing or have been released on DVD/Blu-ray.",Where would one most likely see the show advertised in the poster?,This type of display with a character and the added writing is usually used to advertise either a movie or play both of which could be viewed in a theater.,0.0181584795682713,"{'rouge1': Score(precision=0.14492753623188406, recall=0.3333333333333333, fmeasure=0.20202020202020202), 'rouge2': Score(precision=0.029411764705882353, recall=0.06896551724137931, fmeasure=0.041237113402061855), 'rougeL': Score(precision=0.08695652173913043, recall=0.2, fmeasure=0.12121212121212122)}",0.1928783382789317,Where would one most likely see the show advertised in the poster?,One would most likely see the show advertised in the poster in the theater.,"The most likely place to see the show advertised in the poster would be at the <mask> where the show is being performed. <mask> posters are typically used to advertise upcoming shows and events taking place at the <mask>. The other choices, such as television, internet, and cinema, are more likely to be used for promoting shows that are already airing or have been released on DVD/Blu-ray.",0.001383117516525,True,"[{'sentence': 'The most likely place to see the show advertised in the poster would be at the theater where the show is being performed.', 'no_entail_prob': 0.0002291603450430557, 'support': True}, {'sentence': 'Theater posters are typically used to advertise upcoming shows and events taking place at the theater.', 'no_entail_prob': 0.008536062203347683, 'support': True}, {'sentence': 'The other choices, such as television, internet, and cinema, are more likely to be used for promoting shows that are already airing or have been released on DVD/Blu-ray.', 'no_entail_prob': 0.5263427495956421, 'support': False}]"
"What mood do the cows seem to be in? Choices: sad, happy, curious, scared",happy,Happy,1,"['The cows are happy.', 'These cows appear happy with their heads up.', 'The cows standing in the grass look happy and satisfied as they drink water and eat grass.']","The cows seem to be in a happy mood because they are grazing in a lush green field, which indicates a healthy and abundant environment for them to thrive. Additionally, there is a person nearby, possibly a farmer or caretaker, who could be providing them with food or ensuring their well-being. The presence of the person suggests that the cows are in a safe and nurturing environment, contributing to their overall happiness.",What mood do the cows seem to be in?,The cows standing in the grass look happy and satisfied as they drink water and eat grass.,0.0075446309831442,"{'rouge1': Score(precision=0.1095890410958904, recall=0.47058823529411764, fmeasure=0.17777777777777778), 'rouge2': Score(precision=0.013888888888888888, recall=0.0625, fmeasure=0.022727272727272724), 'rougeL': Score(precision=0.0821917808219178, recall=0.35294117647058826, fmeasure=0.13333333333333333)}",0.2,What mood do the cows seem to be in?,The cows seem to be in a happy mood.,"The cows seem to be in a <mask> mood because they are grazing in a lush green field, which indicates a healthy and abundant environment for them to thrive. Additionally, there is a person nearby, possibly a farmer or caretaker, who could be providing them with food or ensuring their well-being. The presence of the person suggests that the cows are in a safe and nurturing environment, contributing to their overall happiness.",0.0004788928781636,True,"[{'sentence': 'The cows seem to be in a happy mood because they are grazing in a lush green field, which indicates a healthy and abundant environment for them to thrive.', 'no_entail_prob': 0.003761752275750041, 'support': True}, {'sentence': 'Additionally, there is a person nearby, possibly a farmer or caretaker, who could be providing them with food or ensuring their well-being.', 'no_entail_prob': 0.5136684775352478, 'support': False}, {'sentence': 'The presence of the person suggests that the cows are in a safe and nurturing environment, contributing to their overall happiness.', 'no_entail_prob': 0.002271680859848857, 'support': True}]"
"What type of rain is this called? Choices: average, drizzle, sprinkle, downpour",downpour,Downpour,1,"['The way the woman uses the umbrella.', 'The rain is really heavy and uncomfortable to be in.', 'You can see how hard it is raining and how much it is.']","The type of rain depicted in the image is a downpour. A downpour is characterized by heavy rainfall, often accompanied by thunder and lightning. In the image, the people are walking in the rain, and there are multiple umbrellas being used to shield them from the rain. The presence of multiple umbrellas and the intensity of the rain suggest that it is a downpour rather than a drizzle or a sprinkle.",What type of rain is this called?,You can see how hard it is raining and how much it is.,0.0059889641808192,"{'rouge1': Score(precision=0.07042253521126761, recall=0.38461538461538464, fmeasure=0.11904761904761905), 'rouge2': Score(precision=0.02857142857142857, recall=0.16666666666666666, fmeasure=0.048780487804878044), 'rougeL': Score(precision=0.07042253521126761, recall=0.38461538461538464, fmeasure=0.11904761904761905)}",0.1329787234042553,What type of rain is this called?,This type of rain is called a downpour.,"The type of rain depicted in the image is a <mask>. A <mask> is characterized by heavy rainfall, often accompanied by thunder and lightning. In the image, the people are walking in the rain, and there are multiple umbrellas being used to shield them from the rain. The presence of multiple umbrellas and the intensity of the rain suggest that it is a <mask> rather than a drizzle or a sprinkle.",0.1654582321643829,True,"[{'sentence': 'The type of rain depicted in the image is a downpour.', 'no_entail_prob': 0.00014624542382080108, 'support': True}, {'sentence': 'A downpour is characterized by heavy rainfall, often accompanied by thunder and lightning.', 'no_entail_prob': 0.0009547316585667431, 'support': True}, {'sentence': 'In the image, the people are walking in the rain, and there are multiple umbrellas being used to shield them from the rain.', 'no_entail_prob': 0.1524103283882141, 'support': True}, {'sentence': 'The presence of multiple umbrellas and the intensity of the rain suggest that it is a downpour rather than a drizzle or a sprinkle.', 'no_entail_prob': 0.0006647531990893185, 'support': True}]"
"What is the man putting on the bus? Choices: camera, ribbon, rag, bow",bow,Ribbon,0,"['He affixed a tidy, unripped, tied tow to the bus.', 'They are putting a big red bow on it.', 'You can see the red looped decoration in his hands.']","The man is putting a red ribbon on the bus. This suggests that the bus might be participating in a special event or celebration, such as a parade or a community gathering. The ribbon serves as a decorative element to make the bus more visually appealing and to showcase its involvement in the event.",What is the man putting on the bus?,You can see the red looped decoration in his hands.,0.0044588157485752,"{'rouge1': Score(precision=0.07407407407407407, recall=0.4, fmeasure=0.125), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.07407407407407407, recall=0.4, fmeasure=0.125)}",0.1388888888888889,What is the man putting on the bus?,The man is putting ribbon on the bus.,"The man is putting a red <mask> on the bus. This suggests that the bus might be participating in a special event or celebration, such as a parade or a community gathering. The <mask> serves as a decorative element to make the bus more visually appealing and to showcase its involvement in the event.",0.9966102242469788,False,"[{'sentence': 'The man is putting a red ribbon on the bus.', 'no_entail_prob': 0.0012693643802776933, 'support': True}, {'sentence': 'This suggests that the bus might be participating in a special event or celebration, such as a parade or a community gathering.', 'no_entail_prob': 0.5165954232215881, 'support': False}, {'sentence': 'The ribbon serves as a decorative element to make the bus more visually appealing and to showcase its involvement in the event.', 'no_entail_prob': 0.3350244164466858, 'support': True}]"
"If the cameraman were driving what do they have to do from this position? Choices: turn left, drive straight, reverse course, turn right",turn right,"If the cameraman were driving, they would have to turn right.",0,"['The would have to turn right because the lane has right turn arrows painted on it.', 'The arrow on the street indicates that this lane can only go in one direction at the intersection.', 'The sign on the road says to turn right.']","If the cameraman were driving, they would have to turn right to follow the flow of traffic. In the image, there are multiple cars, a bus, and a person riding a bicycle on the street. The person on the bicycle is riding in the same direction as the cars, while the bus is driving in the opposite direction. To maintain the flow of traffic and ensure safety, the cameraman would need to turn right and join the traffic in the same",If the cameraman were driving what do they have to do from this position?,The arrow on the street indicates that this lane can only go in one direction at the intersection.,0.0062260648170254,"{'rouge1': Score(precision=0.08641975308641975, recall=0.3888888888888889, fmeasure=0.1414141414141414), 'rouge2': Score(precision=0.025, recall=0.11764705882352941, fmeasure=0.041237113402061855), 'rougeL': Score(precision=0.08641975308641975, recall=0.3888888888888889, fmeasure=0.1414141414141414)}",0.1440329218106996,If the cameraman were driving what do they have to do from this position?,If the cameraman were driving they would have to turn right from this position.,"If the cameraman were driving, they would have to turn right to follow the flow of traffic. In the image, there are multiple cars, a bus, and a person riding a bicycle on the street. The person on the bicycle is riding in the same direction as the cars, while the bus is driving in the opposite direction. To maintain the flow of traffic and ensure safety, the cameraman would need to turn right and join the traffic in the same",0.0001434171863365,True,"[{'sentence': 'If the cameraman were driving, they would have to turn right to follow the flow of traffic.', 'no_entail_prob': 0.005260851699858904, 'support': True}, {'sentence': 'In the image, there are multiple cars, a bus, and a person riding a bicycle on the street.', 'no_entail_prob': 0.3890821635723114, 'support': True}, {'sentence': 'The person on the bicycle is riding in the same direction as the cars, while the bus is driving in the opposite direction.', 'no_entail_prob': 0.41111084818840027, 'support': True}, {'sentence': 'To maintain the flow of traffic and ensure safety, the cameraman would need to turn right and join the traffic in the same', 'no_entail_prob': 0.005658367648720741, 'support': True}]"
