question,correct_answer,predicted_answer,is_correct,groundtruth_rationale,generated_rationale,question_no_choice,longest_groundtruth_rationale,BLEU_score,ROUGE_scores,METEOR_score,question_text,hypothesis,gen_rationale_mask,no_entail_prob,support,entail_prob,extracted_rationale_pieces
"What is the man by the bags awaiting? Choices: skateboarder, train, delivery, cab",cab,Delivery,0,"['A train would not be on the street, he would not have luggage waiting for a delivery, and the skateboarder is there and not paying attention to him so a cab is the only possible answer.', 'He has bags as if he is going someone, and he is on a road waiting for vehicle that can only be moved on the road and is big enough to hold the bags.', 'He looks to be waiting for a paid ride to pick him up.']","The man by the bags is likely waiting for a delivery, as indicated by the context of the image. The presence of multiple bags suggests that he might be preparing for a delivery or waiting for a delivery to arrive. The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.",What is the man by the bags awaiting?,"A train would not be on the street, he would not have luggage waiting for a delivery, and the skateboarder is there and not paying attention to him so a cab is the only possible answer.",0.0483303922159511,"{'rouge1': Score(precision=0.2698412698412698, recall=0.4722222222222222, fmeasure=0.34343434343434337), 'rouge2': Score(precision=0.04838709677419355, recall=0.08571428571428572, fmeasure=0.061855670103092786), 'rougeL': Score(precision=0.19047619047619047, recall=0.3333333333333333, fmeasure=0.24242424242424246)}",0.2478510784158624,What is the man by the bags awaiting?,The man by the bags is awaiting delivery.,"The man by the bags is likely waiting for a <mask>, as indicated by the context of the image. The presence of multiple bags suggests that he might be preparing for a <mask> or waiting for a <mask> to arrive. The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.",0.3684056997299194,True,0.6315943002700806,"['The presence of multiple bags suggests that he might be preparing for a delivery or waiting for a delivery to arrive.', 'The other options, such as a skateboarder, train, or cab, do not seem to be relevant to the situation depicted in the image.']"
"Where does this man eat pizza? Choices: office, cafe, motel, outside",office,Cafe,0,"['The man is eating pizza at a work desk in an office setting.', 'The man is near a computer keyboard.', 'The man is sitting at an office desk at his job and eating his pizza.']","Based on the image, the man is eating pizza at a cafe. The presence of a dining table and chairs in the scene suggests that the cafe is a place where people can sit and enjoy their meals. Additionally, the fact that the man is eating pizza at the cafe implies that the cafe serves food, including pizza, to its customers. Therefore, the answer to the question is that the man eats pizza at the cafe.",Where does this man eat pizza?,The man is sitting at an office desk at his job and eating his pizza.,0.0069050551424722,"{'rouge1': Score(precision=0.11842105263157894, recall=0.6, fmeasure=0.1978021978021978), 'rouge2': Score(precision=0.02666666666666667, recall=0.14285714285714285, fmeasure=0.0449438202247191), 'rougeL': Score(precision=0.09210526315789473, recall=0.4666666666666667, fmeasure=0.15384615384615383)}",0.1895734597156398,Where does this man eat pizza?,This man eats pizza in a cafe.,"Based on the image, the man is eating pizza at a <mask>. The presence of a dining table and chairs in the scene suggests that the <mask> is a place where people can sit and enjoy their meals. Additionally, the fact that the man is eating pizza at the <mask> implies that the <mask> serves food, including pizza, to its customers. Therefore, the answer to the question is that the man eats pizza at the <mask>.",0.3528705239295959,True,0.647129476070404,"['The presence of a dining table and chairs in the scene suggests that the cafe is a place where people can sit and enjoy their meals.', 'The cafe serves food, including pizza, to its customers.']"
"What is the occupation of the person driving? Choices: waiter, farmer, cashier, musician",farmer,Cashier,0,"['The place is full of sheep that shows the person is a farmer.', 'Farmer is the obvious profession as the picture shows.', 'With the tractor he is in and the livestock shown it is easy to surmise his profession.']","The occupation of the person driving is a cashier. This can be inferred from the fact that they are driving a cash register, which is a piece of equipment commonly found in retail establishments such as grocery stores, convenience stores, and restaurants. Cashiers are responsible for operating the cash register, processing transactions, and ensuring that the cash drawer is balanced at the end of the day. The presence of a cash register in the image",What is the occupation of the person driving?,With the tractor he is in and the livestock shown it is easy to surmise his profession.,0.0037870472843898,"{'rouge1': Score(precision=0.08, recall=0.35294117647058826, fmeasure=0.13043478260869565), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08, recall=0.35294117647058826, fmeasure=0.13043478260869565)}",0.131578947368421,What is the occupation of the person driving?,The occupation of the person driving is cashier.,"The occupation of the person driving is a <mask>. This can be inferred from the fact that they are driving a cash register, which is a piece of equipment commonly found in retail establishments such as grocery stores, convenience stores, and restaurants. Cashiers are responsible for operating the cash register, processing transactions, and ensuring that the cash drawer is balanced at the end of the day. The presence of a cash register in the image",0.2319620102643966,True,0.7680379897356033,"['They are driving a cash register, which is a piece of equipment commonly found in retail establishments such as grocery stores, convenience stores, and restaurants.', 'Cashiers are responsible for operating the cash register, processing transactions, and ensuring that the cash drawer is balanced at the end of the day.', 'The presence of a cash register in the image.']"
"How were the drivers of the cars able to park here? Choices: firemen, airport workers, police, postal workers",airport workers,Police,0,"['These drivers work at the airport.', 'Cars are parked on a tarmac near an airplane. only worker vehicles are allowed on airport tarmacs.', 'The people that work here use the vehicles on the tarmac.']","The drivers of the cars were able to park here due to the presence of a parking meter. Parking meters are typically used to regulate and manage parking spaces in urban areas, ensuring that more people have access to limited parking spots. In this case, the parking meter indicates that the drivers have paid for their parking time, allowing them to park their cars in the designated area. The presence of a parking meter suggests that the parking space is regulated and",How were the drivers of the cars able to park here?,Cars are parked on a tarmac near an airplane. only worker vehicles are allowed on airport tarmacs.,0.0026272627693688,"{'rouge1': Score(precision=0.06097560975609756, recall=0.29411764705882354, fmeasure=0.10101010101010101), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.06097560975609756, recall=0.29411764705882354, fmeasure=0.10101010101010101)}",0.1063829787234042,How were the drivers of the cars able to park here?,The drivers of the cars were able to park here because of police.,"The drivers of the cars were able to park here due to the presence of a parking meter. Parking meters are typically used to regulate and manage parking spaces in urban areas, ensuring that more people have access to limited parking spots. In this case, the parking meter indicates that the drivers have paid for their parking time, allowing them to park their cars in the designated area. The presence of a parking meter suggests that the parking space is regulated and",0.9999194145202636,False,8.058547973643915e-05,"['The drivers of the cars were able to park here due to the presence of a parking meter.', 'Parking meters are typically used to regulate and manage parking spaces in urban areas, ensuring that more people have access to limited parking spots.', 'In this case, the parking meter indicates that the drivers have paid for their parking time, allowing them to park their cars in the designated area.', 'The presence of a parking meter suggests that the parking space is regulated.']"
"How many people can ride this motorcycle at a time? Choices: four, two, three, one",two,One,0,"['Two people can be on the bike.', ""There is a passenger seat and a driver's seat."", 'There are two seats and seat backs on the motorcycle that apply that two could ride simultaneously.']","The reasoning behind the answer ""one"" is that the motorcycle is designed for a single rider. In the image, there is no indication of additional passengers or seating for more than one person. Motorcycles are typically designed for a single rider to sit comfortably and safely, and they do not have the capacity to accommodate multiple passengers at the same time. Therefore, the correct answer is ""one.""",How many people can ride this motorcycle at a time?,There are two seats and seat backs on the motorcycle that apply that two could ride simultaneously.,0.0072204536397803,"{'rouge1': Score(precision=0.1044776119402985, recall=0.4117647058823529, fmeasure=0.16666666666666669), 'rouge2': Score(precision=0.015151515151515152, recall=0.0625, fmeasure=0.024390243902439025), 'rougeL': Score(precision=0.05970149253731343, recall=0.23529411764705882, fmeasure=0.09523809523809523)}",0.2045454545454545,How many people can ride this motorcycle at a time?,One person can ride this motorcycle at a time.,"The reasoning behind the answer ""<mask>"" is that the motorcycle is designed for a single rider. In the image, there is no indication of additional passengers or seating for more than <mask> person. Motorcycles are typically designed for a single rider to sit comfortably and safely, and they do not have the capacity to accommodate multiple passengers at the same time. Therefore, the correct answer is ""<mask>.""",4.846741649089381e-05,True,0.9999515325835091,"['The motorcycle is designed for a single rider.', 'In the image, there is no indication of additional passengers or seating for more than one person.', 'Motorcycles are typically designed for a single rider to sit comfortably and safely.', 'They do not have the capacity to accommodate multiple passengers at the same time.']"
"Where would one most likely see the show advertised in the poster? Choices: theater, tv, internet, cinema",theater,Theater,1,"['Most likely the sign is depicting a broadway show at a theater.', 'The poster would be in a theater.', 'This type of display with a character and the added writing is usually used to advertise either a movie or play both of which could be viewed in a theater.']","The most likely place to see the show advertised in the poster would be at the theater. This is because the theater is where the show is being performed, and it would make sense for the theater to advertise the show to attract potential attendees. The other choices, such as TV, internet, and cinema, are not necessarily the places where the show is being performed, so it would be less likely to see an advertisement for the show in those locations.",Where would one most likely see the show advertised in the poster?,This type of display with a character and the added writing is usually used to advertise either a movie or play both of which could be viewed in a theater.,0.0068902733638843,"{'rouge1': Score(precision=0.1111111111111111, recall=0.3, fmeasure=0.16216216216216217), 'rouge2': Score(precision=0.0125, recall=0.034482758620689655, fmeasure=0.01834862385321101), 'rougeL': Score(precision=0.08641975308641975, recall=0.23333333333333334, fmeasure=0.12612612612612611)}",0.1709401709401709,Where would one most likely see the show advertised in the poster?,One would most likely see the show advertised in the poster in the theater.,"The most likely place to see the show advertised in the poster would be at the <mask>. This is because the <mask> is where the show is being performed, and it would make sense for the <mask> to advertise the show to attract potential attendees. The other choices, such as TV, internet, and cinema, are not necessarily the places where the show is being performed, so it would be less likely to see an advertisement for the show in those locations.",0.0013537587365135,True,0.9986462412634864,"['The theater is where the show is being performed.', 'It would make sense for the theater to advertise the show to attract potential attendees.', 'The other choices, such as TV, internet, and cinema, are not necessarily the places where the show is being performed, so it would be less likely to see an advertisement for the show in those locations.']"
"What mood do the cows seem to be in? Choices: sad, happy, curious, scared",happy,Sad,0,"['The cows are happy.', 'These cows appear happy with their heads up.', 'The cows standing in the grass look happy and satisfied as they drink water and eat grass.']","The cows in the image seem to be in a sad mood, as they are described as looking sad. This could be due to various reasons, such as being separated from their herd, experiencing discomfort or illness, or simply being in an unfamiliar environment. It is important to note that interpreting animal emotions can be subjective and may not always be accurate. However, based on the available information, the cows appear to be in a state of sad",What mood do the cows seem to be in?,The cows standing in the grass look happy and satisfied as they drink water and eat grass.,0.0088499288224324,"{'rouge1': Score(precision=0.10256410256410256, recall=0.47058823529411764, fmeasure=0.16842105263157894), 'rouge2': Score(precision=0.03896103896103896, recall=0.1875, fmeasure=0.06451612903225806), 'rougeL': Score(precision=0.08974358974358974, recall=0.4117647058823529, fmeasure=0.1473684210526316)}",0.1948051948051948,What mood do the cows seem to be in?,The cows seem to be in a sad mood.,"The cows in the image seem to be in a <mask> mood, as they are described as looking <mask>. This could be due to various reasons, such as being separated from their herd, experiencing discomfort or illness, or simply being in an unfamiliar environment. It is important to note that interpreting animal emotions can be subjective and may not always be accurate. However, based on the available information, the cows appear to be in a state of <mask>",0.2075357735157013,True,0.7924642264842987,"['This could be due to various reasons, such as being separated from their herd, experiencing discomfort or illness, or simply being in an unfamiliar environment.', 'It is important to note that interpreting animal emotions can be subjective and may not always be accurate.']"
"What type of rain is this called? Choices: average, drizzle, sprinkle, downpour",downpour,Downpour,1,"['The way the woman uses the umbrella.', 'The rain is really heavy and uncomfortable to be in.', 'You can see how hard it is raining and how much it is.']","The term ""downpour"" is used to describe a heavy and continuous rainfall, often accompanied by thunder and lightning. In the image, the rain appears to be heavy and continuous, suggesting that it is a downpour rather than a drizzle, sprinkle, or average rainfall. The reasoning behind this answer is that the term ""downpour"" is commonly used to describe a rainfall that is more intense and widespread than",What type of rain is this called?,You can see how hard it is raining and how much it is.,0.0063548059933432,"{'rouge1': Score(precision=0.07462686567164178, recall=0.38461538461538464, fmeasure=0.12499999999999999), 'rouge2': Score(precision=0.015151515151515152, recall=0.08333333333333333, fmeasure=0.02564102564102564), 'rougeL': Score(precision=0.07462686567164178, recall=0.38461538461538464, fmeasure=0.12499999999999999)}",0.1630434782608695,What type of rain is this called?,This type of rain is called a downpour.,"The term ""<mask>"" is used to describe a heavy and continuous rainfall, often accompanied by thunder and lightning. In the image, the rain appears to be heavy and continuous, suggesting that it is a <mask> rather than a drizzle, sprinkle, or average rainfall. The reasoning behind this answer is that the term ""<mask>"" is commonly used to describe a rainfall that is more intense and widespread than",0.1509026288986206,True,0.8490973711013794,"[""The term 'downpour' is used to describe a heavy and continuous rainfall, often accompanied by thunder and lightning."", 'In the image, the rain appears to be heavy and continuous, suggesting that it is a downpour rather than a drizzle, sprinkle, or average rainfall.', ""The term 'downpour' is commonly used to describe a rainfall that is more intense and widespread.""]"
"What is the man putting on the bus? Choices: camera, ribbon, rag, bow",bow,Camera,0,"['He affixed a tidy, unripped, tied tow to the bus.', 'They are putting a big red bow on it.', 'You can see the red looped decoration in his hands.']",The man is putting a camera on the bus.,What is the man putting on the bus?,You can see the red looped decoration in his hands.,0.0214585123713592,"{'rouge1': Score(precision=0.1111111111111111, recall=0.1, fmeasure=0.10526315789473685), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1111111111111111, recall=0.1, fmeasure=0.10526315789473685)}",0.0505050505050505,What is the man putting on the bus?,The man is putting a camera on the bus.,The man is putting a <mask> on the bus.,0.9999769926071168,False,2.300739288318976e-05,[]
"If the cameraman were driving what do they have to do from this position? Choices: turn left, drive straight, reverse course, turn right",turn right,"If the cameraman were driving, they would have to turn right.",0,"['The would have to turn right because the lane has right turn arrows painted on it.', 'The arrow on the street indicates that this lane can only go in one direction at the intersection.', 'The sign on the road says to turn right.']","If the cameraman were driving, they would have to turn right. The reasoning behind this answer is that in the image, the camera is positioned on the right side of the scene, looking towards the left. This suggests that the cameraman would need to turn right to change the direction of the camera and capture a different view of the scene. The other choices, such as turning left, driving straight, or reversing course, do not align with the position of the camera in the",If the cameraman were driving what do they have to do from this position?,The arrow on the street indicates that this lane can only go in one direction at the intersection.,0.0064470113430709,"{'rouge1': Score(precision=0.09523809523809523, recall=0.4444444444444444, fmeasure=0.1568627450980392), 'rouge2': Score(precision=0.012048192771084338, recall=0.058823529411764705, fmeasure=0.02), 'rougeL': Score(precision=0.07142857142857142, recall=0.3333333333333333, fmeasure=0.11764705882352941)}",0.2032520325203252,If the cameraman were driving what do they have to do from this position?,If the cameraman were driving they would have to turn right from this position.,"If the cameraman were driving, they would have to turn right. The reasoning behind this answer is that in the image, the camera is positioned on the right side of the scene, looking towards the left. This suggests that the cameraman would need to turn right to change the direction of the camera and capture a different view of the scene. The other choices, such as turning left, driving straight, or reversing course, do not align with the position of the camera in the",4.400118632474914e-05,True,0.9999559988136753,"['The camera is positioned on the right side of the scene, looking towards the left.', 'This suggests that the cameraman would need to turn right to change the direction of the camera and capture a different view of the scene.', 'The other choices, such as turning left, driving straight, or reversing course, do not align with the position of the camera in the scene.']"
